Ticker,sector,sectorKey,industry,beta,marketCap
EXC,Utilities,utilities,Utilities - Regulated Electric,0.605,36463181824.0
CSGP,Real Estate,real-estate,Real Estate Services,0.829,38872367104.0
KVUE,Consumer Defensive,consumer-defensive,Household & Personal Products,,38942556160.0
EL,Consumer Defensive,consumer-defensive,Household & Personal Products,1.072,53681332224.0
CDW,Technology,technology,Information Technology Services,1.092,32951123968.0
FICO,Technology,technology,Software - Application,1.221,30116024320.0
PPG,Basic Materials,basic-materials,Specialty Chemicals,1.281,32446867456.0
MLM,Basic Materials,basic-materials,Building Materials,0.954,36862902272.0
KMI,Energy,energy,Oil & Gas Midstream,0.882,39060914176.0
GEHC,Healthcare,healthcare,Health Information Services,,40713469952.0
ROK,Industrials,industrials,Specialty Industrial Machinery,1.429,32186601472.0
XEL,Utilities,utilities,Utilities - Regulated Electric,0.37,28862560256.0
KDP,Consumer Defensive,consumer-defensive,Beverages - Non-Alcoholic,0.661,39062798336.0
VMC,Basic Materials,basic-materials,Building Materials,0.832,35286093824.0
HAL,Energy,energy,Oil & Gas Equipment & Services,2.003,33583548416.0
MRNA,Healthcare,healthcare,Biotechnology,1.601,39678279680.0
EFX,Industrials,industrials,Consulting Services,1.517,31353430016.0
ACGL,Financial Services,financial-services,Insurance - Diversified,0.57,34376994816.0
VICI,Real Estate,real-estate,REIT - Diversified,0.921,30178039808.0
ED,Utilities,utilities,Utilities - Regulated Electric,0.351,30729662464.0
WST,Healthcare,healthcare,Medical Instruments & Supplies,1.03,28375877632.0
HSY,Consumer Defensive,consumer-defensive,Confectioners,0.339,39472480256.0
EXR,Real Estate,real-estate,REIT - Industrial,0.746,30483869696.0
PWR,Industrials,industrials,Engineering & Construction,1.105,35380568064.0
ANSS,Technology,technology,Software - Application,1.155,28531396608.0
DG,Consumer Defensive,consumer-defensive,Discount Stores,0.41,33352566784.0
KR,Consumer Defensive,consumer-defensive,Grocery Stores,0.461,40363200512.0
BKR,Energy,energy,Oil & Gas Equipment & Services,1.403,32574681088.0
DLTR,Consumer Defensive,consumer-defensive,Discount Stores,0.921,27761250304.0
XYL,Industrials,industrials,Specialty Industrial Machinery,1.107,30770067456.0
KHC,Consumer Defensive,consumer-defensive,Packaged Foods,0.666,41694244864.0
PEG,Utilities,utilities,Utilities - Regulated Electric,0.585,31799879680.0
FTV,Technology,technology,Scientific & Technical Instruments,1.176,29990283264.0
DD,Basic Materials,basic-materials,Specialty Chemicals,1.222,30663120896.0
KEYS,Technology,technology,Scientific & Technical Instruments,1.051,26148489216.0
RCL,Consumer Cyclical,consumer-cyclical,Travel Services,2.518,33087318016.0
CHTR,Communication Services,communication-services,Telecom Services,0.962,41965789184.0
ADM,Consumer Defensive,consumer-defensive,Farm Products,0.751,30239143936.0
WTW,Financial Services,financial-services,Insurance Brokers,0.742,27869708288.0
FANG,Energy,energy,Oil & Gas E&P,1.912,33894225920.0
DFS,Financial Services,financial-services,Credit Services,1.445,30126733312.0
DVN,Energy,energy,Oil & Gas E&P,2.2,30238699520.0
RMD,Healthcare,healthcare,Medical Instruments & Supplies,0.655,27954264064.0
HIG,Financial Services,financial-services,Insurance - Property & Casualty,0.879,29458466816.0
TTWO,Communication Services,communication-services,Electronic Gaming & Multimedia,0.745,24549031936.0
MTD,Healthcare,healthcare,Diagnostics & Research,1.147,28447463424.0
CBRE,Real Estate,real-estate,Real Estate Services,1.421,28493924352.0
DAL,Industrials,industrials,Airlines,1.431,27740131328.0
ZBH,Healthcare,healthcare,Medical Devices,1.007,25670363136.0
ULTA,Consumer Cyclical,consumer-cyclical,Specialty Retail,1.311,26027991040.0
-,,,,,
CAH,Healthcare,healthcare,Medical Distribution,0.691,26904000512.0
TSCO,Consumer Cyclical,consumer-cyclical,Specialty Retail,0.842,27750856704.0
EIX,Utilities,utilities,Utilities - Regulated Electric,0.966,26455252992.0
HPQ,Technology,technology,Computer Hardware,1.056,29765392384.0
WAB,Industrials,industrials,Railroads,1.406,24752195584.0
AVB,Real Estate,real-estate,REIT - Residential,0.927,26107035648.0
CHD,Consumer Defensive,consumer-defensive,Household & Personal Products,0.529,25435691008.0
WEC,Utilities,utilities,Utilities - Regulated Electric,0.398,25491097600.0
TROW,Financial Services,financial-services,Asset Management,1.402,25689241600.0
GLW,Technology,technology,Electronic Components,1.074,27746437120.0
LYB,Basic Materials,basic-materials,Specialty Chemicals,1.199,32423094272.0
WY,Real Estate,real-estate,REIT - Specialty,1.448,25044457472.0
NVR,Consumer Cyclical,consumer-cyclical,Residential Construction,1.131,24172046336.0
AWK,Utilities,utilities,Utilities - Regulated Water,0.625,22813601792.0
BR,Technology,technology,Information Technology Services,1.001,23577954304.0
SBAC,Real Estate,real-estate,REIT - Specialty,0.555,23295326208.0
HWM,Industrials,industrials,Aerospace & Defense,1.265,27178536960.0
APTV,Consumer Cyclical,consumer-cyclical,Auto Parts,1.91,21061726208.0
BLDR,Industrials,industrials,Building Products & Equipment,2.041,23838050304.0
FITB,Financial Services,financial-services,Banks - Regional,1.278,24088303616.0
ILMN,Healthcare,healthcare,Diagnostics & Research,1.192,20296298496.0
DOV,Industrials,industrials,Specialty Industrial Machinery,1.27,24556118016.0
STT,Financial Services,financial-services,Asset Management,1.53,21890940928.0
PHM,Consumer Cyclical,consumer-cyclical,Residential Construction,1.563,23523221504.0
MOH,Healthcare,healthcare,Healthcare Plans,0.472,23619880960.0
MTB,Financial Services,financial-services,Banks - Regional,0.785,23415246848.0
WBD,Communication Services,communication-services,Entertainment,1.509,20834953216.0
EBAY,Consumer Cyclical,consumer-cyclical,Internet Retail,1.313,27039600640.0
STE,Healthcare,healthcare,Medical Devices,0.796,22732161024.0
PTC,Technology,technology,Software - Application,1.172,21735749632.0
DTE,Utilities,utilities,Utilities - Regulated Electric,0.642,22447224832.0
EXPE,Consumer Cyclical,consumer-cyclical,Travel Services,1.865,18190358528.0
RJF,Financial Services,financial-services,Capital Markets,1.053,25242222592.0
ALGN,Healthcare,healthcare,Medical Devices,1.654,23608973312.0
ETR,Utilities,utilities,Utilities - Regulated Electric,0.701,21702082560.0
IFF,Basic Materials,basic-materials,Specialty Chemicals,1.229,21152847872.0
BAX,Healthcare,healthcare,Medical Instruments & Supplies,0.621,21130682368.0
TDY,Technology,technology,Scientific & Technical Instruments,1.017,19666890752.0
EQR,Real Estate,real-estate,REIT - Residential,0.849,23923288064.0
DRI,Consumer Cyclical,consumer-cyclical,Restaurants,1.253,20533915648.0
IRM,Real Estate,real-estate,REIT - Specialty,0.956,22975815680.0
GPC,Consumer Cyclical,consumer-cyclical,Specialty Retail,0.945,21423740928.0
HPE,Technology,technology,Communication Equipment,1.201,21746155520.0
LVS,Consumer Cyclical,consumer-cyclical,Resorts & Casinos,1.177,38457278464.0
TRGP,Energy,energy,Oil & Gas Midstream,2.187,23647735808.0
CBOE,Financial Services,financial-services,Financial Data & Stock Exchanges,0.603,19376408576.0
WAT,Healthcare,healthcare,Diagnostics & Research,0.926,20892596224.0
LUV,Industrials,industrials,Airlines,1.163,16915453952.0
NDAQ,Financial Services,financial-services,Financial Data & Stock Exchanges,0.927,34328352768.0
HUBB,Industrials,industrials,Electrical Equipment & Parts,0.932,21190709248.0
FLT,Technology,technology,Software - Infrastructure,1.223,21242800128.0
CLX,Consumer Defensive,consumer-defensive,Household & Personal Products,0.42,18635757568.0
AKAM,Technology,technology,Software - Infrastructure,0.723,16251592704.0
AXON,Industrials,industrials,Aerospace & Defense,0.932,23166906368.0
STLD,Basic Materials,basic-materials,Steel,1.419,21809573888.0
LH,Healthcare,healthcare,Diagnostics & Research,0.999,17594562560.0
ES,Utilities,utilities,Utilities - Regulated Electric,0.596,20603557888.0
BRO,Financial Services,financial-services,Insurance Brokers,0.785,24276021248.0
PPL,Utilities,utilities,Utilities - Regulated Electric,0.824,19649742848.0
INVH,Real Estate,real-estate,REIT - Residential,0.94,21394051072.0
GRMN,Technology,technology,Scientific & Technical Instruments,0.984,27951497216.0
BALL,Consumer Cyclical,consumer-cyclical,Packaging & Containers,0.892,20173666304.0
NTAP,Technology,technology,Computer Hardware,1.254,21122684928.0
